id,created_at,trigger_type,trigger_words,response_text
1,2025-06-02T12:48:44.752266,greeting,"{hi,hello,hey,good morning,good evening}",Hello! How can I help you today?
2,2025-06-02T12:48:44.752279,greeting,"{yo,hiya,howdy,what's up,sup}",Hey there! What's up?
3,2025-06-02T12:48:44.752283,goodbye,"{bye,goodbye,see you,later,cya}",Goodbye! Have a great day!
4,2025-06-02T12:48:44.752286,goodbye,"{take care,farewell,see ya}",Take care! Talk to you soon.
5,2025-06-02T12:48:44.752290,thanks,"{thanks,thank you,thx,ty}",You're welcome! 😊
6,2025-06-02T12:48:44.752294,thanks,"{much appreciated,thanks a lot}",Glad I could help!
7,2025-06-02T12:48:44.752299,affirmation,"{yes,yeah,yep,of course,sure}",Great! Let's continue.
8,2025-06-02T12:48:44.752303,affirmation,"{absolutely,definitely,sure thing}","Perfect, let's do it."
9,2025-06-02T12:48:44.752306,negation,"{no,nope,nah,not really}",No worries! Let me know if you change your mind.
10,2025-06-02T12:48:44.752309,help,"{help,assist,need help,can you help,i need assistance}",Sure! I'm here to assist. What do you need help with?
11,2025-06-02T12:48:44.752313,confusion,"{what,huh,idk,what do you mean,i don't get it}",Let me explain that more clearly...
12,2025-06-02T12:48:44.752316,feedback_positive,"{great,awesome,cool,nice,well done}",Thanks! Glad you liked it.
13,2025-06-02T12:48:44.752319,feedback_negative,"{bad,terrible,not good,worst}",I'm sorry to hear that. I'll try to improve.
14,2025-06-02T12:48:44.752323,greeting,"{hi,hello,hey,good morning,good evening}",Hello! How can I help you today?
15,2025-06-02T12:48:44.752325,greeting,"{yo,hiya,howdy,what's up,sup}",Hey there! What's up?
16,2025-06-02T12:48:44.752328,goodbye,"{bye,goodbye,see you,later,cya}",Goodbye! Have a great day!
17,2025-06-02T12:48:44.752331,goodbye,"{take care,farewell,see ya}",Take care! Talk to you soon.
18,2025-06-02T12:48:44.752334,thanks,"{thanks,thank you,thx,ty}",You're welcome! 😊
19,2025-06-02T12:48:44.752337,thanks,"{much appreciated,thanks a lot}",Glad I could help!
20,2025-06-02T12:48:44.752339,affirmation,"{yes,yeah,yep,of course,sure}",Great! Let's continue.
21,2025-06-02T12:48:44.752342,affirmation,"{absolutely,definitely,sure thing}","Perfect, let's do it."
22,2025-06-02T12:48:44.752345,negation,"{no,nope,nah,not really}",No worries! Let me know if you change your mind.
23,2025-06-02T12:48:44.752347,help,"{help,assist,need help,can you help,i need assistance}",Sure! I'm here to assist. What do you need help with?
24,2025-06-02T12:48:44.752350,confusion,"{what,huh,idk,what do you mean,i don't get it}",Let me explain that more clearly...
25,2025-06-02T12:48:44.752353,feedback_positive,"{great,awesome,cool,nice,well done}",Thanks! Glad you liked it.
26,2025-06-02T12:48:44.752356,feedback_negative,"{bad,terrible,not good,worst}",I'm sorry to hear that. I'll try to improve.
27,2025-06-02T12:48:44.752359,greeting,"{hi,hello,hey,good morning,good evening}",Hello! How can I help you today?
28,2025-06-02T12:48:44.752362,greeting,"{yo,hiya,howdy,what's up,sup}",Hey there! What's up?
29,2025-06-02T12:48:44.752364,goodbye,"{bye,goodbye,see you,later,cya}",Goodbye! Have a great day!
30,2025-06-02T12:48:44.752367,goodbye,"{take care,farewell,see ya}",Take care! Talk to you soon.
31,2025-06-02T12:48:44.752370,thanks,"{thanks,thank you,thx,ty}",You're welcome! 😊
32,2025-06-02T12:48:44.752372,thanks,"{much appreciated,thanks a lot}",Glad I could help!
33,2025-06-02T12:48:44.752375,affirmation,"{yes,yeah,yep,of course,sure}",Great! Let's continue.
34,2025-06-02T12:48:44.752378,affirmation,"{absolutely,definitely,sure thing}","Perfect, let's do it."
35,2025-06-02T12:48:44.752381,negation,"{no,nope,nah,not really}",No worries! Let me know if you change your mind.
36,2025-06-02T12:48:44.752384,help,"{help,assist,need help,can you help,i need assistance}",Sure! I'm here to assist. What do you need help with?
37,2025-06-02T12:48:44.752387,confusion,"{what,huh,idk,what do you mean,i don't get it}",Let me explain that more clearly...
38,2025-06-02T12:48:44.752390,feedback_positive,"{great,awesome,cool,nice,well done}",Thanks! Glad you liked it.
39,2025-06-02T12:48:44.752392,feedback_negative,"{bad,terrible,not good,worst}",I'm sorry to hear that. I'll try to improve.
40,2025-06-02T12:48:44.752395,greeting,"{hi,hello,hey,good morning,good evening}",Hello! How can I help you today?
41,2025-06-02T12:48:44.752399,greeting,"{yo,hiya,howdy,what's up,sup}",Hey there! What's up?
42,2025-06-02T12:48:44.752403,goodbye,"{bye,goodbye,see you,later,cya}",Goodbye! Have a great day!
43,2025-06-02T12:48:44.752405,goodbye,"{take care,farewell,see ya}",Take care! Talk to you soon.
44,2025-06-02T12:48:44.752409,thanks,"{thanks,thank you,thx,ty}",You're welcome! 😊
45,2025-06-02T12:48:44.752412,thanks,"{much appreciated,thanks a lot}",Glad I could help!
46,2025-06-02T12:48:44.752414,affirmation,"{yes,yeah,yep,of course,sure}",Great! Let's continue.
47,2025-06-02T12:48:44.752417,affirmation,"{absolutely,definitely,sure thing}","Perfect, let's do it."
48,2025-06-02T12:48:44.752420,negation,"{no,nope,nah,not really}",No worries! Let me know if you change your mind.
49,2025-06-02T12:48:44.752423,help,"{help,assist,need help,can you help,i need assistance}",Sure! I'm here to assist. What do you need help with?
50,2025-06-02T12:48:44.752425,confusion,"{what,huh,idk,what do you mean,i don't get it}",Let me explain that more clearly...
51,2025-06-02T12:48:44.752428,feedback_positive,"{great,awesome,cool,nice,well done}",Thanks! Glad you liked it.
52,2025-06-02T12:48:44.752431,feedback_negative,"{bad,terrible,not good,worst}",I'm sorry to hear that. I'll try to improve.
